example,found_phrase,true_index,pred_index,true_sense,pred_sense,correct_index,correct_sense
"Чего его ловить?  Собачка — =без задних ног=. Мясник как-то, кажется, из детского дома, что на углу, поймал Джерика на месте преступления.",без задних ног,2,2,1,2,True,False
"О весна =без конца и без края=,",без конца и без края,3,3,2,1,True,False
"Хотя если обратно сказать, то у нас есть и =без конца и краю= становится всяких комиссий по всяким вопросам — они отделам все менее и менее подчиняются, а все более и более лично вот товарищу Брусенкову.",без конца и краю,3,3,1,2,True,False
"Устройство это несложно, но все же тут надо быть в работе довольно аккуратным, чтобы ваши «салазки» катились, что называется, =без сучка и без задоринки=.",без сучка и без задоринки,4,4,2,1,True,False
"На чулочной фабрике сжатый воздух несет по ним тонкие нейлоновые чулки, и этот путь «=без сучка и без задоринки=» резко снижает количество брака, обычно довольно высокого при перевозке из цеха в цех.",без сучка и без задоринки,4,4,2,1,True,False
"Вот нашел, о чем заботиться, — промолвил урядник, — показать только линек — и так =благим матом= вспрыгнет, словно заяц из капусты.",благим матом,5,5,2,1,True,False
"Одна — зачем, =бог ведает=, Меж полем и дорогою Густая липа выросла.",бог ведает,6,6,2,1,True,False
В ресторане гуляли золотопромышленники =большой руки=.,большой руки,8,8,1,2,True,False
Жду не дождусь приезда македонцев — они сумеют =взять тебя (Таис. — Авт.) в руки=.,взять тебя (таис. — авт.) в руки,9,9,1,2,True,False
"Глафира еще при жизни матери успела понемногу =забрать весь дом в руки=: все, начиная с отца, ей подчинялись.",забрать весь дом в руки,9,9,1,2,True,False
"Стрельбы, тактика, а еще занятия то с командирами отделения, то политзанятия... Все осунулись, щеки ввалились. Но крепости прибавилось. Вышагивают — =будь здоров=!",будь здоров,12,12,2,3,True,False
"Совестно будет этакому барину сознаваться, что подписал =в нетрезвом виде=...",в нетрезвом виде,14,14,1,2,True,False
"Мы с семи часов были на пароходе, =в двух шагах от города и пристани=.",в двух шагах от города и пристани,17,17,3,2,True,False
"Тут же он (Степка. — Авт.) схватился за винтовку и только передернул затвором, как =в двух шагах от него=, брызнув песком, в насыпь ударилась пуля.",в двух шагах от него,17,17,3,2,True,False
"Там Безбородкин сад, Охта под боком, Нева =в двух шагах=.",в двух шагах,17,17,1,2,True,False
"После стольких лет тоски по счастью Иван Ильич не мог привыкнуть к тому, что оно было =в двух шагах=, в низенькой хате.",в двух шагах,17,17,1,2,True,False
"Виктор достал изпод кровати старенький чемодан, который =видывал виды=.",видывал виды,20,20,2,1,True,False
Переплет был сильно потерт; книжка =видала виды=.,видала виды,20,20,2,1,True,False
"Всякий Онегина и Татьяну представляет по-своему, =в меру своего вкуса и культуры=.",в меру своего вкуса и культуры,21,21,4,2,True,False
"Мы взяли раненого грача, туго, =в меру умения=, перевязали ему крыло.",в меру умения,21,21,4,1,True,False
"Империализм как высшая стадия капитализма» — крупнейшая, ну или по крайней мере одна из двух крупнейших жемчужин в ленинской литературной короне и, =вне всякого сомнения=, самая остроактуальная его работа: ни один человек в мире, ознакомившись с этой сотней емких, энергичных, искрящихся страниц, где объясняется, с точки зрения экономиста, подоплека Первой мировой и дается ключ ко всей мировой истории XX века, не рискнет сказать, что Ленин «устарел»,  «никому больше не нужен» и пр.",вне всякого сомнения,23,23,1,2,True,False
"Первостепенное значение опытов для меня =вне сомнения=, наш новый путь теперь завоеван (тобой) не в идее только, а на деле — в эксперименте»  (из письма Л. С. Выготского к А. Р. Лурия от 11. 07. 1931 г.; курсив наш. — Ж. Г., Г. С).",вне сомнения,23,23,1,2,True,False
"Люда промолчала. =Вне всякого сомнения=, ей все уже было ясно.",вне всякого сомнения,23,23,3,2,True,False
Мальчишки столкнулись лбами и заревели =во весь дух=.,во весь дух,26,26,2,1,True,False
"И если кто, кроме Шкарубо, получал удовольствие от сей церемонии, так это Малыш: развалясь у ног своей хозяйки, он запрокидывал голову к небу и с надрывом, перекрывая команды, выл =во всю ивановскую=.",во всю ивановскую,27,27,1,2,True,False
И заревел я =во всю свою мочь=.,во всю свою мочь,28,28,2,1,True,False
"Она (Сонька. — Авт.) права, — подумал он (Митя. — Авт.), — глаза у меня если и не византийские, то, =во всяком случае=, сумасшедшие.",во всяком случае,29,29,3,2,True,False
Однако надлежит =во всяком случае= предпринять и военные меры.,во всяком случае,29,29,1,3,True,False
"Сейчас шофер сам с тебя работу требует, ему рейсы нужны и машину старается держать =в порядке= по возможности.",в порядке,31,31,2,1,True,False
"Он доложил, что ночное дежурство прошло =в полном порядке=, нарушений никаких не было, чрезвычайных же происшествий два: одно изложено в рапорте (он положил перед Климентьевым рапорт на угол стола, но рапорт тотчас же сорвался и по замысловатой кривой спланировал под дальний стул.",в полном порядке,31,31,2,1,True,False
"Сапоги стояли =в порядке= — пятками вместе, носками врозь, сверху — портянки.",в порядке,31,31,2,1,True,False
Вышел адъютант и пригласил собравшихся к фюреру. Манштейн пошел первым и за ним =в порядке иерархии= — все остальные.,в порядке иерархии,31,31,3,1,True,False
"(Амалия Ивановна. — Авт.) была вся разодета, хоть и в траур, но во все новое, в шелковое, =в пух и прах=, и гордилась этим.",в пух и прах,32,32,1,2,True,False
"В итоге с одной стороны четыре трупа, с другой — =в розовом свете= (это не метафора) счастливое семейство отправляется, вероятно, к издателю в машине, подаренной Гарри, с тишиной в сердце, обретенной благодаря Гарри, и семейной идиллией, случившейся по инициативе Гарри, ведь супружеские отношения Мишеля замерли в нерешительности на самом краю пропасти.",в розовом свете,33,33,1,2,True,False
"Но всегда, почему-то, эта должность представляется молодым людям =в розовом цвете=.",в розовом цвете,33,33,2,1,True,False
