row,example,true_index,pred_index,index_correct,true_sense,pred_sense,sense_correct,true_meaning,pred_meaning,meaning_correct,all_correct
14,"Вы сколь уже заседаете в Кирилловой избе — =без конца, без края=!",3,3.0,True,1,2.0,False,"долгий, бесконечный","огромный, беспредельный по протяженности, далеко простирающийся",False,False
31,"Во всяком случае, начальная его часть прошла =без сучка без задоринки=.",4,4.0,True,2,1.0,False,"соответственно нормам, порядку; правильно, четко, точно","такой, который соответствует нормам, порядку, безукоризненный, четкий",False,False
32,"И все это при том, что беременность отходила =без сучка и задоринки=…",4,4.0,True,1,2.0,False,"такой, который соответствует нормам, порядку, безукоризненный, четкий","соответственно нормам, порядку; правильно, четко, точно",False,False
38,"Он пал мне в ноги и слезно умолял, но вместо того, чтобы закричать, я побежал =благим матом=.",5,5.0,True,2,1.0,False,"очень быстро, стремительно","очень громко, неистово, исступленно",False,False
63,"Нет, Игнат Петрович, работы тебе еще сверх головы. =Бок о бок с хитрыми станками=, а то и впереди них.",7,7.0,True,3,2.0,False,рядом с кем / чем либо,"1 рядом, близко; 2 вместе",False,False
69,"Не один господин =большой руки= пожертвовал бы сию же минуту половину душ крестьян и половину имений, заложенных и незаложенных, со всеми улучшениями на иностранную и русскую ногу, с тем только, чтобы иметь такой желудок, какой имеет господин средней руки.",8,8.0,True,1,2.0,False,"1 «очень важный, влиятельный», 2 «богатый, знатный», 3 «известный»","закоренелый, отъявленный",False,False
79,Оно (воспоминание. — Авт.) еще более =набрасывает мрачную тень на все предметы=.,11,,False,1,,False,"печалить, омрачать, вызывать / вызвать тяжелое, мрачное настроение",none,False,False
80,"Ага! — по-русски пропел Гриша и приблизился ко мне вплотную. — Ты хочешь сказать, что я =на него бросил тень=? Оговорил? Налгал? Я его под монастырь подвел?",11,,False,2,,False,"позорить, чернить, порочить, компрометировать",none,False,False
81,"И в тот день так же было, — говорила баба, даже не пытаясь =бросить тень на человека=.",11,,False,2,,False,"позорить, чернить, порочить, компрометировать",none,False,False
91,"Просто не умею этого делать, да и заповедей Божиих стараюсь не нарушать. Уверена, что любая гадость, сказанная =в адрес обидчика=, обернется против меня.",13,,False,2,,False,относительно кого-либо,none,False,False
92,"Батышев, чтобы не ударить лицом в грязь, тоже отпускал колкие шутки =в адрес новоявленного комиссара=.",13,,False,2,,False,относительно кого-либо,none,False,False
94,Костюм =в готовом виде= уже висел на плечиках.,14,,False,1,,False,"такой, какой обозначен прилагательным или местоимением",none,False,False
96,"...не утерпит, чтобы не показать себя перед нашим братом =в лучшем виде=.",14,,False,2,,False,"так, как названо основой прилагательного, местоимения или соответственно значению прилагательного",none,False,False
126,"Мы содрали пурпурный, =видавший виды= занавес из велюра и, сложив вдвое, застелили им кусок сцены: получилось весьма жёсткое и не очень просторное лежбище для десятка человек, но другого выхода не было.",19,19.0,True,2,1.0,False,"изношенный, старый, долго используемый","опытный, бывалый",False,False
127,"Даже старики матросы, =видавшие всякие виды=, угрюмо молчали, пытливо посматривая на мостик, где словно приросла к поручням высокая, закутанная в дождевик фигура капитана, зорко взглядывавшего на беснующуюся бурю.",19,20.0,False,1,2.0,False,"опытный, бывалый","изнашиваться / износиться, истрепаться",False,False
140,"=В конце концов=, хотя жизнь в городе и не очень полезна для здоровья, но ведь и угнетенное состояние духа тоже полезным не назовешь",21,21.0,True,2,1.0,False,выражение рациональной оценки итога,"наконец, в итоге",False,False
146,"=В конце концов=, «чего женщина хочет, того хочет Бог». Н.",21,21.0,True,2,1.0,False,выражение рациональной оценки итога,"наконец, в итоге",False,False
167,"Слабость возмущала ее, глупость сердила, ложь она не прощала <=во веки веков=».",25,25.0,True,3,2.0,False,никогда,"всегда, навсегда, вечно, навечно",False,False
170,"Первому встречному такую встряску задам, что =во веки веков= не забудет.",25,25.0,True,3,2.0,False,никогда,"всегда, навсегда, вечно, навечно",False,False
177,Девка тут тоже сидит и храпит =во всю ивановскую=…,27,27.0,True,1,2.0,False,очень громко,"сильно, напропалую",False,False
178,"Иван Петрович, хохоча во все горло, рассказывал им (гостям. — Авт.) анекдот... рассказывал =во всю ивановскую=, так, что всем дачам слышно было.",27,27.0,True,1,2.0,False,очень громко,"сильно, напропалую",False,False
184,"Паша пел тоненьким голоском, зато =во всю мочь=.",28,28.0,True,2,1.0,False,очень громко,"предельно напряженно, интенсивно",False,False
186,"А когда вошла в свою комнату — упала, не раздеваясь, на кровать и зарыдала =во всю силу=, как тогда в подворотне.",28,28.0,True,2,1.0,False,очень громко,"предельно напряженно, интенсивно",False,False
191,"На генеральной репетиции, когда зазвучал =во всю силу= свод-ный духовой оркестр,  «полились потоки такой мощи, что некоторые наши цвета уже воспринимались слабее, чем без музыки.",28,28.0,True,2,1.0,False,очень громко,"предельно напряженно, интенсивно",False,False
195,И вот в пору насильственной немоты зазвучал =во всю свою мощь= — от громовых раскатов до свистящего шепота — мятежный человеческий голос.,28,28.0,True,2,1.0,False,очень громко,"предельно напряженно, интенсивно",False,False
196,"Сила Грязнов вообще развернулся =во всю мощь= и потребовал занавесить все черным, разжечь настоящий огонь, для себя велел принести маску Бэтмена и черный кожаный плащ.",28,28.0,True,1,2.0,False,"предельно напряженно, интенсивно",очень громко,False,False
198,"Этот факт плюс информация о том, что Бундесбанк не собирается спасать английскую валюту, позволили Соросу развернуться =во всю мощь=.",28,28.0,True,1,2.0,False,"предельно напряженно, интенсивно",очень громко,False,False
203,"Снизится потребность во вторичной занятости, неформальной занятости, а также, =во всяком случае= в той части самозанятости, которая не приобретает еще статуса официально учитываемого предпринимательства.",29,29.0,True,1,3.0,False,"непременно, обязательно, при любых обстоятельствах",выражение утверждения; пожалуй,False,False
217,Запрос от каждой рабочей станции поступает на сервер и обрабатывается =в порядке= общей очереди поступивших заявок от всех РС.,31,31.0,True,3,1.0,False,"1 указание на характер, порядок действия, 2 указание на формы совершения действия","1 хорош, благополучен, в идеальном состоянии, 2 здоров(-ая, -ый)",False,False
227,По дороге к розовой стене невозможно не обратить внимание еще на один элемент «жизни =в розовом свете=».,33,33.0,True,1,2.0,False,"идеализированный, приукрашенный","идеализированно, лучше, чем на самом деле",False,False
228,"Жизнь =в розовом цвете= и зеленая тоска — не секрет, что различные оттенки освещения и предметов интерьера создают определенное настроение.",33,33.0,True,1,2.0,False,"идеализированный, приукрашенный","идеализированно, лучше, чем на самом деле",False,False
237,"Но я думаю, и седые академики с волнением будут разглядывать этот подлинный «=во весь рост=» портрет планеты Земля.",34,34.0,True,1,2.0,False,"1 охватывающий всю фигуру, весь предмет; 2 полно отражающий характер, внутренний мир человека","выпрямившись, вытянувшись, не сгибаясь, очень прямо, полностью, целиком",False,False
