example,found_phrase,true_index,pred_index,true_sense,pred_sense,correct_index,correct_sense
"Вы, батюшка, в полку =без году неделя=; нынче здесь, завтра перешли куда в адъютантики.",без году неделя,1,1,1,2,True,False
"Я явился в школу тогда, когда все мои одноклассники еще крепко спали в постелях — и Зинка Фокина, и Миша Яковлев, и Алик Новиков, и Костя Малинин, — ну, этот-то, наверное, спит =без задних ног=!",без задних ног,2,2,2,1,True,False
"Он улыбался, перебирал струны, как будто так — всегда, =без конца и края=.",без конца и края,3,3,2,1,True,False
"О весна =без конца и без краю=, =без конца и без краю= мечта!»",без конца и без краю,3,3,1,2,True,False
И т. д. =без конца и без краю=.,без конца и без краю,3,3,1,2,True,False
"Осипов помнил, как женщины в канцелярии ломали голову над тем, почему генеральный не подписал один из документов, если тот был составлен =без сучка и задоринки=, и доломали ее до того, что решили, что генеральному разонравилась его собственная подпись и он теперь хочет отдохнуть от нее.",без сучка и задоринки,4,4,1,2,True,False
"А над ними ухает вторая, четвертая, восьмая связка, и уж кого-то придавили к земле, и он орет =благим матом=, кто-то влез в чужое, кто-то кому-то дал в лоб, и пошло, и пошло.",благим матом,5,5,1,2,True,False
"Он никогда не орет =благим матом=, как орал тот.",благим матом,5,5,1,2,True,False
"А то ведь болтают =Бог весть= что: мол, за барахлом мотаются, а мы денежки платим.",бог весть,6,6,1,2,True,False
"Может, и правда корытинский?  =Бог знает=. В ногах у них не стояли.",бог знает,6,6,1,2,True,False
"Она робко подошла к Председателю и поздоровалась; все (кроме Председателя, который отговорился плохим самочувствием) сели за стол, положили себе не =бог весть= какой салат, розлили по рюмкам дешевое вино и водку, заговорили об умном.",бог весть,6,6,2,1,True,False
"В простенке между окнами висели черно-красные таблицы и фотографии подкрашенных пейзажей, где реки были микронными капиллярами, берега — волокнами поперечно-полосатой мускулатуры, и громоздились горы, разверзались впадины, и все это геологическое по виду действие разыгрывалось в окуляре микроскопа с не =бог весть= каким увеличением…",бог весть,6,6,2,1,True,False
"Зигфрид и Рой — два бывших восточных немца, которые живут в Америке, создали роскошное шоу со своим передвижным театром, с большим балетом, с замечательным оформлением, с редчайшими животными — белые тигры-красавцы у них, крокодилы, слоны и =Бог знает= что.",бог знает,6,6,1,2,True,False
"Внизу домовой террасы по лугу извивалась река Сороть, а с правой стороны кругозора, =бок о бок с рекою=, лежало огромное озеро, за которым высился большой лес.",бок о бок с рекою,7,7,3,2,True,False
"Что касается моего личного мнения, то самым большим плюсом работы в ИТ-отрасли я как раз считаю возможность работать =бок о бок= именно с такими талантами, которые опровергают данное мнение.",бок о бок,7,7,2,3,True,False
Она от злости схватила кирпич и с ругательством =в мой адрес= стала бить фары и стекла моей машины.,в мой адрес,13,13,1,2,True,False
"В августе конгресс уже не только открыто клял президента, но и =в полный голос= призывал армию к перевороту.",в полный голос,15,15,1,2,True,False
Все =в один голос=: мальчик очень одаренный.,в один голос,15,15,2,1,True,False
"Но когда стал читать дальше, то понял, что „запланированное нападение пророссийских активистов “имело место в том самом McDonald’s — там, где после инцидента несколько десятков британцев =в полный голос= с гордостью скандировали: We Are British soldiers!",в полный голос,15,15,1,2,True,False
"Формально Мон-Сен-Мишель расположен на территории соседней провинции Нормандии, но уже =в «двух шагах»= от острова-монастыря начинается Бретань.",в «двух шагах»,17,17,2,3,True,False
"Старик с благодарностью взял наш гостинец в руки и положил его рядом с собой на старенький, =видавший виды= тастамал.",видавший виды,19,19,2,1,True,False
"Вообще серьезный был старик, =видавший виды=, не то что остальная трактирная прислуга, набранная с бору да с сосенки.",видавший виды,19,19,1,2,True,False
"Все это разнородное войско — =видавшие всякие виды= гвардейские подразделения, одетые с иголочки маршевые роты и офицерские команды, вся эта новенькая, без царапинки техника — все двигалось к фронту, навстречу тяжелым и для многих последним боям…",видавшие всякие виды,20,19,2,1,False,False
"Ключарёв и Алимушкин» — жутковато, причём =в самую меру=.",в самую меру,21,21,2,4,True,False
"Поговори с мужем, узнай, что у него лучше всего получалось в детстве. =В конце концов=, спроси его маму. Однако не воспринимай информацию буквально.",в конце концов,21,21,2,1,True,False
"Форумы, блоги, встречи ветеранов семнадцатого загона, легенды о Неуловимой и байки о Неуловимом, памятные места. Телешоу, =в конце концов=!  На кону пять миллионов!",в конце концов,21,21,1,4,True,False
"Такое необычное растение, =без сомнения=, украсит альпинарий.",без сомнения,23,23,2,1,True,False
"В России, известно, можно ожидать чего угодно, но целенаправленные консолидированные усилия по раскачиванию государственного корабля и слому имеющегося — =без сомнения=, пакостного — экономического уклада сегодня кажутся почти невероятными.",без сомнения,23,23,2,1,True,False
"Пусть там отныне и =во веки веков= все происходит так, как если бы нас не было.",во веки веков,25,25,2,3,True,False
"Трещали, пустозвонили =во всю ивановскую=.",во всю ивановскую,27,27,2,1,True,False
Был немец громом в землю вжат; Врага железный жар знобил: По бронеколпакам сержант =Во всю ивановскую= бил.,во всю ивановскую,27,27,2,1,True,False
"Финци Паска словно бы дал установку актерам сдерживать себя в те моменты, когда наступает время смешить зрителя — хотя очевидно, что именно комические сцены им удаются лучше всего, — и играть =во всю силу=, когда приходит время печали.",во всю силу,28,28,1,2,True,False
"А! закончила она, взявъ силою Джорджика, который сопротивлялся =во всю свою мочь=: — я думала, что ты зовешь его сюда: это была бы такая обуза.",во всю свою мочь,28,28,1,2,True,False
"Она (Мухина. — Авт.) создает свою последнюю монументальную работу «Требуем мира», и в этой ее лебединой песне голос скульптора снова звучит =во всю мощь=.",во всю мощь,28,28,2,1,True,False
"Государь писал герцогу, что он ни в чем неволить Ибрагима не намерен, но что =во всяком случае= он никогда не оставит прежнего своего питомца.",во всяком случае,29,29,1,2,True,False
"Красно-лиловый шелк платья, изумрудной зелени шаль, украшения из темного старинного серебра… Анализы их были =в полном порядке=. Два здоровых человека, не родившие за двадцать лет брака даже одной маленькой девочки…",в полном порядке,31,31,1,2,True,False
"И действительно, вы любите друг друга, у вас чудесные дети — вроде бы все должно быть =в порядке=.",в порядке,31,31,1,3,True,False
"Он был =в полном порядке=, когда они разошлись, — у нее совесть перед ним чиста.",в полном порядке,31,31,1,3,True,False
"Критерии жанра просты: это роман, написанный автором-женщиной от лица женщины, рассчитанный в основном на женскую аудиторию (хотя у нас сентиментальный роман, судя по всему, пользуется популярностью и на мужских «зонах»); в нём не должно быть социальных размышлений, а «красивая жизнь» должна описываться как можно подробней; любовный роман описывает жизнь =в розовом свете=, приподнято-оптимистично, и конечно, он должен быть достаточно сексуален.",в розовом свете,33,33,2,1,True,False
"Носителями этого являются люди, либо случайно попавшие к руководству районами, колхозами, машинно-тракторными станциями, либо живущие давними и подчас сомнительными заслугами, остановившиеся =в своем росте= и потому отстающими от жизни.",в своем росте,34,34,2,3,True,False
Черт бы не лез по такому густющему ельнику! А им тот непролазник был =в самый раз=.,в самый раз,36,36,1,2,True,False
А изображение знаменитого физика было помещено =в свое время= на итальянской банкноте достоинством в десять тысяч лир.,в свое время,37,37,1,2,True,False
"На самом деле это не так, и =в свое время= Бах считался старомодным композитором.",в свое время,37,37,1,3,True,False
"Почему «все»? — возразила Люба. =Все, без исключения=, — подтвердил профессор. Ну а дальше? — попросила Нюра.","все, без исключения",38,38,1,2,True,False
"Забавно было, что таким же недоверием ко =всем и каждому= — и в первую очередь к людям, живущим бок о бок, — была заражена и Вера Лазаревна.",бок о бок,40,7,1,3,False,False
"Угадала, — хрипло отозвался Митька — Бегай не бегай, =все одно= моя будешь.",все одно,41,41,2,1,True,False
Но это =все равно=. У нас нет выхода.,все равно,42,42,1,2,True,False
"Вовсе роком не отмеченным, 
  Первым =встречным-поперечным= — 
  Все равно какое имя там…",все равно,44,42,2,2,False,False
"Он никогда не =выдавал себя= за Христа, он не обещал вам от себя царство Божье.",выдавал себя,46,46,1,4,True,False
"Он не прочел ни одной книги, ничего толком не сделал, хотя после смерти отца =выдавал себя= за крупного специалиста и конструктора, который чуть ли не создавал для Кио номера.)",выдавал себя,46,46,1,4,True,False
"Ух, как подхватилась она, скомкала девку вместе с пеленками:  «Совсем мне, сироте от вас покою нет, еще и =рукам волю даете=!»",рукам волю даете,50,50,1,2,True,False
"Ужом извиваться?  И он решил =дать крюк=. Но там, на Монастырском клину, казалось, только этого и ждали.",дать крюк,53,53,1,2,True,False
"Владек то же самое соврал насчет Павла, и они встретились как раз на Нежинской, чтобы вместе пойти в порт и узнать что к чему. Оказалось, они напрасно =дали крюк=. Третий приятель, Юра Нежданов, был срочно увезен родителями к деду, в немецкую колонию Лилиенталь.",дали крюк,53,53,1,2,True,False
"=Держу пари=, Софья Максимовна специально не докрутила фуэте, чтобы ободрить эту неумеху Чурилину.",держу пари,54,54,2,1,True,False
"=Держу пари=, что некоторые из них даже поверили, что выдуманный ими заговор действительно существовал!",держу пари,54,54,2,1,True,False
И вот наконец с решимостью довести дело «Чайка-99» =до конца= агенты 911 — Александр Домогаров — и 700 — Екатерина Коновалова — среди собравшихся «подозреваемых» попытаются отыскать «виновников» и поставят на этом жирную точку.,до конца,55,55,3,2,True,False
А я буду тебя любить =до гробовой доски=.,до гробовой доски,55,55,2,1,True,False
"Вотъ вы увидите, что я буду такою же доброю и степенною матроной, какъ и ваша дорогая женка, которая любитъ васъ =до конца ногтей=.",до конца,56,55,2,1,False,False
"Эмиль Яннингс был профессионалом =до кончиков ногтей=; он привык работать, невзирая ни на какие обстоятельства, Ему понадобился минимальный срок: через два дня после возвращения он вышел на съемочную площадку.",до кончиков ногтей,56,56,1,2,True,False
"Он был =до кончиков ногтей= продуктом западной, главным образом французской культуры, ее новейшего искусства — живописи, скульптуры, поэзии.",до кончиков ногтей,56,56,1,2,True,False
"Нас было всего двое — я да еще некто Баратынский, казанский помещик и «гласный» — джентльмен в полном значении слова, =до конца ногтей=.",до конца,56,55,1,2,False,False
"Так справедливое замечание раскройщицы Дуси об участившихся за последний год подозрительных шушуканьях профкома =при закрытых дверях= вроде бы сначала и насторожило работниц, но по трезвому размышлению в дальнейшем было отброшено как несущественное.",при закрытых дверях,61,61,2,1,True,False
"Она одна только и знает, где кто схоронен, =многим закрыла глаза=.",многим закрыла глаза,62,62,3,4,True,False
"Чтобы выборы состоялись, Центризбиркому фактически пришлось =закрыть глаза= на подкуп избирателей путем проведения лотерей прямо на избирательных участках и вручения талонов на льготную оплату коммунальных услуг проголосовавшим жителям республики.",закрыть глаза,62,62,1,4,True,False
"Она может быть непрямая (ограниченная или полная, когда авторитарные режимы влияют на правительство =из-за кулис=); дуалистическая (когда они делят власть с гражданскими чиновниками), прямая (которая означает непосредственное и неприкрытое господство армии); квазицивилизированная (т. е. представленная, как гражданское правление, которое на деле им не является).",из-за кулис,63,63,1,3,True,False
"Не найдут ли нас пираты? — сказал я, с тревогой поглядывая в темную чащу. Могут найти =за милую душу=. Юрка отбросил в темноту кость и старательно вытер травой руки и подбородок.",за милую душу,64,64,1,2,True,False
"Они начинали темы, а потом импровизировали =за милую душу= каждый по-своему и все одновременно, но это не было какафонией:",все одно,64,41,1,2,False,False
"Все сделаем =за милую душу=, и побежит как миленькая!",за милую душу,64,64,1,2,True,False
"Очень классно в магазин за покупками ездить: рюкзак =за спиной=, одна авоська в одной руке, одна — в другой.",за спиной,65,65,4,2,True,False
"Портниху очень ценили у нас в доме за то, что она была так искусна в своем мастерстве. «Просто =золотые руки=», — говорили о ней.",золотые руки,67,67,1,2,True,False
Светлые головы и =золотые руки у= этих людей.,золотые руки у,67,67,2,1,True,False
"Сантехники в этом городе скопом =шли ко дну=, все больше и больше хлебая горькую и затхлую водицу.",шли ко дну,68,68,1,2,True,False
"Студийцы получали информацию, профессиональную и гражданскую, =из первых рук=, и это ..выращивало их, на этом они мужали.",из первых рук,75,75,1,2,True,False
Эта Ангелина — прямо =как бельмо на глазу=!,как бельмо на глазу,77,77,2,1,True,False
"И этих, истинно православных, пригнали, — тихо, =словно во сне=, говорила тётка.",словно во сне,78,78,2,1,True,False
"Все было, =как во сне=: звери, усталость, голод и тишина; и я убивал зверей.",как во сне,78,78,1,2,True,False
"[Лариса:] Я ослепла, я все чувства потеряла, да и рада. Давно уж =точно во сне= все вижу, что кругом меня происходит.",точно во сне,78,78,2,1,True,False
"Начиная с недружественного, оживленного комической экспрессией пересказа («Показал нечаянно свои ослиные уши»,  «Поистине, =точно во сне= мочалку жует!»,  «Право же, видно, что Каутский пишет в такой стране, в которой полиция запрещает людям «скопом» смеяться, иначе Каутский был бы убит смехом»), постепенно Ленин входит в свой стандартный режим «hatchet job» — прямых оскорблений оппонента:  «сладенькая фантазия сладенького дурачка Каутского».",точно во сне,78,78,1,2,True,False
"Ты ведешь себя =как в раю=, — ревниво ворчал Бибо, на самом деле очень польщенный взглядами прогуливавшихся американских солдат.",как в раю,79,79,2,1,True,False
"Два часа снимали редакторшу на фоне окна, за которым сияло фальшивое солнце (умельцы прикрепили снаружи фонарь, потому что на экране телевизора все всегда должно выглядеть так, =как в раю= при вечном свете дня), потом все переругались, оператор то и дело прекращал съемки, редакторша два раза рыдала и один раз сменила платье, гример пятнадцать раз пудрила ее и один раз — попутно — дедушку Ивана, который сидел в углу, бледный и голодный, всеми забытый.",как в раю,79,79,2,1,True,False
